Classe,Fichier,Moyenne,RMS,Asymétrie (Skewness),Aplatissement (Kurtosis),Valeur Max,Points,Durée (s)
F0,file38.xlsx,0.040208546640625,0.12698526156922177,-0.04034483169148253,16.002341548854737,1.293567,25600,1.0
F0,file147.xlsx,0.0433418531640625,0.1397086037947865,0.17415642187895886,12.0261863209056,1.295457,25600,1.0
F0,file550.xlsx,0.041224162265624996,0.12413142386697425,-0.17911389391983468,17.45601480045446,1.362052,25600,1.0
F0,file437.xlsx,0.0436287115625,0.1433877366882584,0.3833184928925163,12.904525163208163,1.339915,25600,1.0
F0,file56.xlsx,0.0408347422265625,0.15028190732166197,0.2823844280928457,11.422888672762692,1.468592,25600,1.0
F0,file482.xlsx,0.0401701048828125,0.12065225584513943,-0.05629727558260304,19.239691998003906,1.295579,25600,1.0
F0,file333.xlsx,0.038315019296875,0.11584841265469231,-0.3794365770816817,13.326396988286414,1.250573,25600,1.0
F0,file252.xlsx,0.0382521483984375,0.11128665512656503,-0.1367323773531843,13.535852745215495,1.131531,25600,1.0
F0,file452.xlsx,0.039970537617187496,0.1334747111883984,0.13075927288529665,15.846934522622663,1.317168,25600,1.0
F0,file415.xlsx,0.041299594335937495,0.13967482400864228,0.17078573297868332,13.554491237554684,1.2696,25600,1.0
F0,file522.xlsx,0.0388533873828125,0.1415184119381574,0.14600655177395516,13.353042461332395,1.36504,25600,1.0
F0,file250.xlsx,0.0361278044921875,0.11291425741009625,-0.005862463194889805,14.358029481636224,1.324669,25600,1.0
F0,file215.xlsx,0.0385180808984375,0.11578099388434442,-0.3992522865251326,12.751597661363743,1.169342,25600,1.0
F0,file504.xlsx,0.040561070468749995,0.14004397300804838,0.11471977091047734,14.305849345894599,1.381628,25600,1.0
F0,file478.xlsx,0.040528274921875,0.12032765555153296,-0.1392014625806744,15.35909427744397,1.381018,25600,1.0
F0,file407.xlsx,0.0399605050390625,0.1320508299990781,0.2367148338401373,11.478165211954241,1.300519,25600,1.0
F0,file185.xlsx,0.0401207676171875,0.13218423671519944,0.045352792996889484,16.295473809228845,1.340891,25600,1.0
F0,file65.xlsx,0.0388754621484375,0.11791332285776154,-0.09131069072403974,13.674242448322085,1.335524,25600,1.0
F0,file8.xlsx,0.039960723125,0.14041416084425754,0.13981402302151422,14.838251899769213,1.326193,25600,1.0
F0,file271.xlsx,0.039193205351562496,0.1336501122281844,0.031780163886426065,12.775427900124404,1.197516,25600,1.0
F0,file384.xlsx,0.0407087862890625,0.11785606771477872,0.07492297771208731,16.476704801788095,1.596415,25600,1.0
F0,file89.xlsx,0.04422159085937501,0.1290526520916133,0.013670150851652813,16.01854406882815,1.37181,25600,1.0
F0,file137.xlsx,0.036989535546875,0.13229100252620643,0.28620553119711506,13.821906710390737,1.445174,25600,1.0
F0,file221.xlsx,0.040373145234375,0.11893439168761344,-0.2307472524831863,20.059293390291018,1.489753,25600,1.0
F0,file376.xlsx,0.039864897578124996,0.13980418595204475,0.20817381168106952,14.760670635560716,1.378091,25600,1.0
F0,file282.xlsx,0.0412458175,0.12453629680987838,0.08106552803118906,11.8910980390971,1.164219,25600,1.0
F0,file156.xlsx,0.04192157554687499,0.13639772152306132,-0.035209880356528354,17.13701320143256,1.520489,25600,1.0
F0,file85.xlsx,0.0397311080859375,0.12912534679418838,-0.042988495433372215,17.177440169782606,1.394008,25600,1.0
F0,file518.xlsx,0.04167572632812499,0.1384811475358977,0.07420613438672244,15.334299853184353,1.296372,25600,1.0
F0,file16.xlsx,0.039763776875,0.12893308653111413,0.18987516541131708,13.779535836699173,1.399801,25600,1.0
F0,file127.xlsx,0.04073583894531249,0.11700101450688616,-0.2731477976115922,17.02628115968409,1.358942,25600,1.0
F0,file153.xlsx,0.040859048593749996,0.14287127663417098,0.25719450316454817,13.657625184848419,1.39974,25600,1.0
F0,file169.xlsx,0.04262578199218749,0.1529898226534687,0.275637561795335,12.84138729370804,1.474263,25600,1.0
F0,file388.xlsx,0.04159345640625,0.11207204893145156,-0.5311316290384278,11.757179323888183,0.966813,25600,1.0
F0,file219.xlsx,0.041309765742187504,0.11802705453822153,-0.18295597614672945,14.495721069879986,1.302226,25600,1.0
F0,file45.xlsx,0.041518624609375,0.12656967834185123,-0.16786154035385042,15.75977520321216,1.38486,25600,1.0
F0,file459.xlsx,0.040671198671875006,0.14499854471395243,0.17634182969049672,14.091114611736506,1.389556,25600,1.0
F0,file15.xlsx,0.0413855195703125,0.14141254535790246,0.05718799451980026,14.714636263608872,1.328633,25600,1.0
F0,file139.xlsx,0.0382412992578125,0.13505528783104628,0.2555251645190504,15.72540708599655,1.590987,25600,1.0
F0,file99.xlsx,0.04071053820312501,0.12886652044790559,0.21184764552112795,15.750021647879562,1.548725,25600,1.0
F0,file406.xlsx,0.0401026537890625,0.13095062358990042,0.00950060254176638,20.626384539057646,1.471031,25600,1.0
F0,file412.xlsx,0.0391055045703125,0.1297277132078632,0.13790990873725745,12.67599201097906,1.241303,25600,1.0
F0,file544.xlsx,0.03980529734375,0.1471483234544995,0.408177648308526,13.766354475079469,1.471092,25600,1.0
F0,file2.xlsx,0.0417713509765625,0.1317381729269037,0.05532682929166527,15.536880146181135,1.396081,25600,1.0
F0,file159.xlsx,0.039825104609375,0.1231066630068883,-0.03251515865738455,14.633535817370253,1.387178,25600,1.0
F0,file270.xlsx,0.039639665937500006,0.12718781617118258,-0.05542740042026862,15.889690099640783,1.3551,25600,1.0
F0,file155.xlsx,0.04116184941406251,0.1407173044882611,0.12427416751412611,13.513413029574897,1.340037,25600,1.0
F0,file316.xlsx,0.0397779665625,0.13775959760662324,0.2887210155884241,12.988882080655141,1.355344,25600,1.0
F0,file51.xlsx,0.0442852752734375,0.1381244726829455,0.08770767504179734,15.568240997965669,1.387117,25600,1.0
F0,file328.xlsx,0.040102601484375,0.13695143631484022,0.04059438866445717,14.937613086830444,1.283077,25600,1.0
F0,file536.xlsx,0.042789349296875,0.14628143620582093,0.20990050763312085,13.644880124309514,1.305215,25600,1.0
F0,file40.xlsx,0.0388752258203125,0.12949939301797225,-0.06862477255411517,16.377660921479887,1.335524,25600,1.0
F0,file476.xlsx,0.0420371095703125,0.14250331386761692,0.20364665468443335,11.443276562665229,1.248255,25600,1.0
F0,file109.xlsx,0.0413372805859375,0.14640490841435977,0.08571839139612035,14.022570394587282,1.340159,25600,1.0
